status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,2.0,2.0,0.49,Andover,New Jersey,7848.0,,2003-01-30,165000.0
for_sale,4.0,2.0,0.45,Milford,Pennsylvania,18337.0,1817.0,2001-10-02,275000.0
for_sale,4.0,6.0,1.54,White Township,New Jersey,7823.0,4628.0,2013-05-29,670000.0
for_sale,2.0,1.0,0.5,Hopatcong,New Jersey,7843.0,,2015-06-02,250000.0
for_sale,2.0,1.0,0.38,Milford,Pennsylvania,18337.0,884.0,,199000.0
for_sale,4.0,3.0,0.7,Bushkill,Pennsylvania,18324.0,2629.0,1997-08-28,329000.0
for_sale,1.0,1.0,,Hardyston,New Jersey,7419.0,755.0,,209900.0
for_sale,3.0,2.0,0.23,Belvidere,New Jersey,7823.0,,2006-09-25,329950.0
for_sale,4.0,5.0,1.0,Andover,New Jersey,7848.0,,,499000.0
for_sale,4.0,2.0,0.25,Sparta,New Jersey,7871.0,,2001-12-28,525000.0
for_sale,5.0,7.0,3.39,Lafayette,New Jersey,7848.0,,,1699000.0
for_sale,5.0,2.0,0.34,Bushkill,Pennsylvania,18324.0,2112.0,,549000.0
for_sale,4.0,2.0,0.3,Dingmans Ferry,Pennsylvania,18328.0,1140.0,,245000.0
for_sale,,,0.14,Franklin,New Jersey,7416.0,,2007-08-02,40000.0
for_sale,,,5.1,Glen Spey,New York,12737.0,,2015-12-23,150000.0
for_sale,4.0,4.0,0.26,Sparta,New Jersey,7871.0,,2017-10-25,1290000.0
for_sale,4.0,3.0,1.13,Milford,Pennsylvania,18337.0,2750.0,,449000.0
for_sale,2.0,3.0,0.06,Matamoras,Pennsylvania,18336.0,2156.0,,399900.0
for_sale,,,180.92,Knowlton,New Jersey,7832.0,,1998-10-20,1500000.0
for_sale,,,0.73,Lehman,Pennsylvania,18342.0,,,17500.0
for_sale,2.0,1.0,0.12,Milford,Pennsylvania,18337.0,448.0,2020-10-16,50000.0
for_sale,3.0,3.0,0.79,Greeley,Pennsylvania,18425.0,2392.0,,275000.0
for_sale,2.0,1.0,0.44,Glen Spey,New York,12737.0,720.0,,86000.0
for_sale,4.0,3.0,0.98,East Stroudsburg,Pennsylvania,18302.0,1798.0,2000-04-10,328800.0
for_sale,4.0,4.0,1.1,East Stroudsburg,Pennsylvania,18302.0,9700.0,2019-01-08,774900.0
for_sale,4.0,2.0,1.55,Byram Township,New Jersey,7871.0,2001.0,2019-06-17,170000.0
for_sale,3.0,2.0,1.03,Milford,Pennsylvania,18337.0,2688.0,,239000.0
for_sale,4.0,4.0,0.77,Ny,New York,12771.0,3410.0,2004-04-30,425000.0
for_sale,3.0,3.0,,Newton,New Jersey,7860.0,,,299000.0
for_sale,2.0,2.0,,Hamburg,New Jersey,7419.0,,,195000.0
for_sale,3.0,2.0,0.3,East Stroudsburg,Pennsylvania,18302.0,1450.0,2021-07-29,189900.0
for_sale,3.0,2.0,8.12,Barryville,New York,12719.0,1876.0,1989-09-15,359900.0
for_sale,1.0,1.0,0.1,Shohola,Pennsylvania,18458.0,700.0,,38000.0
for_sale,5.0,2.0,0.3,Knowlton,New Jersey,7832.0,2520.0,1999-09-20,265000.0
for_sale,3.0,2.0,0.35,Bushkill,Pennsylvania,18324.0,1152.0,2012-08-03,192000.0
for_sale,,,1.0,East Stroudsburg,Pennsylvania,18302.0,,,28500.0
for_sale,2.0,2.0,,Hamburg,New Jersey,7419.0,,,179900.0
for_sale,4.0,3.0,0.69,Bushkill,Pennsylvania,18324.0,3300.0,,775000.0
for_sale,5.0,3.0,0.33,Dingmans Ferry,Pennsylvania,18328.0,4044.0,1990-07-23,399000.0
for_sale,,,1.18,Milford,Pennsylvania,18337.0,,,26500.0
for_sale,2.0,3.0,0.05,Hardyston,New Jersey,7419.0,,2017-07-12,254900.0
for_sale,4.0,2.0,0.4,Washington Township,New Jersey,7863.0,,2005-12-09,350000.0
for_sale,4.0,2.0,1.09,Byram Township,New Jersey,7874.0,,1986-03-03,399900.0
for_sale,1.0,1.0,,Hamburg,New Jersey,7419.0,757.0,,140000.0
for_sale,4.0,1.0,3.2,Glen Spey,New York,12737.0,1608.0,2001-02-16,360000.0
for_sale,3.0,2.0,0.64,Wantage Township,New Jersey,7461.0,,,249000.0
for_sale,2.0,3.0,,Hamburg,New Jersey,7419.0,,2012-08-08,500000.0
for_sale,6.0,3.0,0.72,Liberty Township,New Jersey,7838.0,,,364900.0
for_sale,4.0,4.0,4.17,Sparta,New Jersey,7871.0,,1994-07-25,795000.0
for_sale,,,3.81,Wantage Township,New Jersey,7461.0,,,199000.0
for_sale,4.0,3.0,2.5,Lafayette,New Jersey,7848.0,,2019-07-24,539000.0
for_sale,3.0,4.0,50.04,Hardwick Twp,New Jersey,7825.0,4178.0,2004-01-16,1379000.0
for_sale,3.0,2.0,1.0,Lafayette,New Jersey,7848.0,,2019-04-08,359000.0
for_sale,3.0,4.0,,Fredon Township,New Jersey,7860.0,,,385000.0
for_sale,4.0,3.0,16.54,Frelinghuysen,New Jersey,7860.0,,,950000.0
for_sale,3.0,2.0,0.58,Lords Valley,Pennsylvania,18428.0,2676.0,2002-05-20,709000.0
for_sale,2.0,1.0,0.85,Hopatcong,New Jersey,7843.0,,2019-11-19,599900.0
for_sale,5.0,3.0,0.65,Shohola,Pennsylvania,18458.0,2280.0,,1360000.0
for_sale,2.0,1.0,1.0,Frankford Township,New Jersey,7826.0,,2019-09-23,850000.0
for_sale,,,0.61,Tamiment,Pennsylvania,18371.0,,,14900.0
for_sale,,,0.53,Tamiment,Pennsylvania,18371.0,,,14900.0
for_sale,,,5.0,Wildwood Way,New York,,,,169000.0
for_sale,4.0,3.0,0.88,Bushkill,Pennsylvania,18324.0,4350.0,2020-10-13,369900.0
for_sale,3.0,2.0,0.34,Newton,New Jersey,7860.0,,2000-08-15,195000.0
for_sale,2.0,1.0,,East Stroudsburg,Pennsylvania,18302.0,1215.0,,117900.0
for_sale,3.0,2.0,0.06,Port Jervis,New York,12771.0,1638.0,2014-01-23,148900.0
for_sale,2.0,2.0,2.4,Greeley,Pennsylvania,18425.0,1638.0,2007-05-18,190000.0
for_sale,3.0,2.0,1.13,Bushkill,Pennsylvania,18324.0,1456.0,2019-09-27,239900.0
for_sale,2.0,1.0,0.29,East Stroudsburg,Pennsylvania,18302.0,1364.0,2021-03-02,169900.0
for_sale,2.0,1.0,10.41,Dingmans Ferry,Pennsylvania,18328.0,3480.0,2007-10-15,367000.0
for_sale,3.0,2.0,0.54,Lords Valley,Pennsylvania,18428.0,1500.0,2020-10-20,289000.0
for_sale,4.0,3.0,2.01,Frankford Township,New Jersey,7822.0,,2003-04-04,525000.0
for_sale,2.0,3.0,0.05,East Stroudsburg,Pennsylvania,18302.0,1286.0,,149900.0
for_sale,,,3.4,Port Jervis,New York,12771.0,,2004-12-30,45000.0
for_sale,4.0,3.0,6.36,Liberty Corner,New Jersey,7838.0,,2018-09-24,470000.0
for_sale,3.0,2.0,1.1,East Stroudsburg,Pennsylvania,18302.0,1344.0,1991-06-24,219500.0
for_sale,3.0,3.0,1.18,Liberty Township,New Jersey,7838.0,,2021-02-09,349900.0
for_sale,2.0,2.0,1.27,Blairstown,New Jersey,7825.0,,,280000.0
for_sale,5.0,5.0,0.51,Allamuchy Township,New Jersey,7840.0,,2019-09-25,674999.0
for_sale,2.0,1.0,0.16,Wantage Township,New Jersey,7461.0,,2018-09-21,199900.0
for_sale,3.0,2.0,2.11,Milford,Pennsylvania,18337.0,4280.0,,479000.0
for_sale,2.0,1.0,0.14,Hopatcong,New Jersey,7843.0,,2016-05-06,244900.0
for_sale,2.0,1.0,0.23,Hopatcong,New Jersey,7843.0,836.0,2017-09-22,249900.0
for_sale,2.0,1.0,1.34,Byram Township,New Jersey,7874.0,,2017-12-13,399000.0
for_sale,3.0,2.0,0.34,Jefferson Township,New Jersey,7849.0,,1992-06-02,375000.0
for_sale,3.0,2.0,0.28,Hopatcong,New Jersey,7843.0,,,269999.0
for_sale,,,1.04,Milford,Pennsylvania,18337.0,,,23000.0
for_sale,3.0,3.0,0.04,Allamuchy Township,New Jersey,7840.0,,2018-04-04,320000.0
for_sale,3.0,2.0,0.31,Dingmans Ferry,Pennsylvania,18328.0,2944.0,,449900.0
for_sale,3.0,1.0,0.18,Hopatcong,New Jersey,7843.0,,2021-11-02,275000.0
for_sale,3.0,2.0,0.68,Milford,Pennsylvania,18337.0,1728.0,2019-10-04,349000.0
for_sale,,,1.93,Milford,Pennsylvania,18337.0,,,60000.0
for_sale,4.0,3.0,6.01,Frelinghuysen,New Jersey,7825.0,,1997-04-17,565000.0
for_sale,3.0,2.0,0.81,Frelinghuysen,New Jersey,7825.0,,2021-07-01,389900.0
for_sale,3.0,3.0,1.52,Byram Township,New Jersey,7821.0,,2017-06-28,450000.0
for_sale,,,1.15,Hampton,New Jersey,7860.0,,,80000.0
for_sale,4.0,3.0,5.63,Knowlton,New Jersey,7832.0,,1973-07-10,550000.0
for_sale,4.0,4.0,3.75,Andover,New Jersey,7821.0,2840.0,,499000.0
for_sale,3.0,2.0,0.26,Sparta,New Jersey,7871.0,1108.0,2014-10-07,375000.0
for_sale,4.0,5.0,1.77,Sparta,New Jersey,7871.0,4556.0,2019-03-04,949900.0
for_sale,3.0,3.0,1.18,Milford,Pennsylvania,18337.0,2550.0,,449000.0
for_sale,4.0,5.0,3.35,Sparta,New Jersey,7871.0,5280.0,2013-09-09,1200000.0
for_sale,3.0,2.0,8.68,Frelinghuysen,New Jersey,7860.0,,,429000.0
for_sale,4.0,5.0,0.46,Sparta,New Jersey,7871.0,,2010-01-29,2995000.0
for_sale,4.0,2.0,0.58,Hawley,Pennsylvania,18428.0,1680.0,,139900.0
for_sale,4.0,1.0,1.64,Yulan,New York,12792.0,1692.0,2012-01-20,188500.0
for_sale,3.0,2.0,0.3,Dingmans Ferry,Pennsylvania,18328.0,1680.0,2013-03-20,148500.0
for_sale,3.0,2.0,0.38,Tamiment,Pennsylvania,18371.0,1524.0,2006-06-08,192500.0
for_sale,3.0,2.0,0.16,Branchville,New Jersey,7826.0,1786.0,2005-04-11,289000.0
for_sale,3.0,3.0,,Bushkill,Pennsylvania,18324.0,2156.0,2019-07-08,299000.0
for_sale,3.0,2.0,0.88,Hopatcong,New Jersey,7821.0,2256.0,,249900.0
for_sale,3.0,2.0,1.17,Milford,Pennsylvania,18337.0,2304.0,,229000.0
for_sale,,,0.02,Middle Smithfield Township,Pennsylvania,18302.0,1368.0,,279000.0
for_sale,3.0,4.0,2.56,Lords Valley,Pennsylvania,18428.0,3750.0,,499000.0
for_sale,3.0,2.0,1.25,Matamoras,Pennsylvania,18336.0,1008.0,2015-10-13,229000.0
for_sale,5.0,2.0,1.74,Sparrow Bush,New York,12780.0,3936.0,1971-03-24,350000.0
for_sale,2.0,2.0,0.05,Bushkill,Pennsylvania,18324.0,1050.0,2016-02-03,122000.0
for_sale,5.0,6.0,3.77,Bushkill,Pennsylvania,18324.0,6700.0,2015-02-03,699999.0
